month,year,total_fee_cr
January,2019,18.0
February,2019,17.0
March,2019,16.0
April,2019,17.0
May,2019,13.0
June,2019,16.0
July,2019,18.0
August,2019,17.0
September,2019,16.0
October,2019,17.0
November,2019,19.0
December,2019,22.0
January,2020,20.0
February,2020,18.0
March,2020,5.0
April,2020,71.0
May,2020,94.0
June,2020,208.0
July,2020,307.0
August,2020,479.0
September,2020,686.0
October,2020,831.0
November,2020,10.0
December,2020,10.0
January,2021,47.0
February,2021,54.77
March,2021,66.42
April,2021,68.91
May,2021,17.3
June,2021,31.57
July,2021,41.05
August,2021,52.51
September,2021,65.49
October,2021,50.94
November,2021,70.22
December,2021,84.52
January,2023,8.91
February,2023,8.93
March,2023,8.25
April,2023,6.26
May,2023,6.18
June,2023,6.68
July,2023,7.86
August,2023,6.64
September,2023,6.67
October,2023,8.32
November,2023,9.49
December,2023,11.02
January,2024,9.59
February,2024,10.03
March,2024,8.6
April,2024,6.51
May,2024,6.0
June,2024,7.06
July,2024,7.76
August,2024,6.36
September,2024,0.0
October,2024,0.0
November,2024,0.0
December,2024,0.0
